(2YP)ASSET,ASSET,(2YP)ASSET2,ASSET2,(2YP)ASSET5,ASSET5,(2YP)ASSTLT,ASSTLT,(2YP)ASTEMPM,ASTEMPM,(2YP)AVASSETJ,AVASSETJ,(2YP)BKPREM,BKPREM,(2YP)CHBAL,CHBAL,(2YP)CHBALI,CHBALI,(2YP)DEP,DEP,(2YP)DEPDASTR,DEPDASTR,(2YP)DEPDOM,DEPDOM,(2YP)DEPI,DEPI,(2YP)EEFFR,EEFFR,(2YP)EINTEXP,EINTEXP,(2YP)ELNANTR,ELNANTR,(2YP)ELNATR,ELNATR,(2YP)ELNATRY,ELNATRY,(2YP)EPREMAGG,EPREMAGG,(2YP)EQ,EQ,(2YP)EQCDIV,EQCDIV,(2YP)EQCONSUB,EQCONSUB,(2YP)EQCS,EQCS,(2YP)EQCSTKRX,EQCSTKRX,(2YP)EQPP,EQPP,(2YP)EQSUR,EQSUR,(2YP)EQTOT,EQTOT,(2YP)EQUPTOT,EQUPTOT,(2YP)EQV,EQV,(2YP)ERNAST,ERNAST,(2YP)ERNASTR,ERNASTR,(2YP)ESAL,ESAL,(2YP)EXTRA,EXTRA,(2YP)FREPO,FREPO,(2YP)FREPP,FREPP,(2YP)IBEFXTR,IBEFXTR,(2YP)IFIDUC,IFIDUC,(2YP)IGLSEC,IGLSEC,(2YP)IGLTRAD,IGLTRAD,(2YP)INTAN,INTAN,(2YP)INTINC,INTINC,(2YP)INTINCY,INTINCY,(2YP)ISERCHG,ISERCHG,(2YP)ITAX,ITAX,(2YP)LIAB,LIAB,(2YP)LIABEQ,LIABEQ,(2YP)LNATRES,LNATRES,(2YP)LNATRESR,LNATRESR,(2YP)LNEXAMT,LNEXAMT,(2YP)LNLSDEPR,LNLSDEPR,(2YP)LNLSNET,LNLSNET,(2YP)LNLSNTV,LNLSNTV,(2YP)LNRESNCR,LNRESNCR,(2YP)NCGTYPAR,NCGTYPAR,(2YP)NCLNLS,NCLNLS,(2YP)NCLNLSR,NCLNLSR,(2YP)NETIMIN,NETIMIN,(2YP)NETINBM,NETINBM,(2YP)NETINC,NETINC,(2YP)NIM,NIM,(2YP)NIMY,NIMY,(2YP)NOIJ,NOIJ,(2YP)NOIJY,NOIJY,(2YP)NONII,NONII,(2YP)NONIIAY,NONIIAY,(2YP)NONIX,NONIX,(2YP)NONIXAY,NONIXAY,(2YP)NPERFV,NPERFV,(2YP)NTLNLS,NTLNLS,(2YP)NTLNLSR,NTLNLSR,(2YP)NUMEMP,NUMEMP,(2YP)OAIENC,OAIENC,(2YP)OALIFGEN,OALIFGEN,(2YP)OALIFHYB,OALIFHYB,(2YP)OALIFINS,OALIFINS,(2YP)OALIFSEP,OALIFSEP,(2YP)OBSDIR,OBSDIR,(2YP)ORE,ORE,(2YP)RBC1AAJ,RBC1AAJ,(2YP)RBCRWAJ,RBCRWAJ,(2YP)RBCT1J,RBCT1J,(2YP)RBCT2,RBCT2,(2YP)ROA,ROA,(2YP)ROAPTX,ROAPTX,(2YP)ROE,ROE,(2YP)ROEINJR,ROEINJR,(2YP)RWAJT,RWAJT,(2YP)SC,SC,(2YP)SUBND,SUBND,(2YP)TRADE,TRADE,(2YP)TRADEL,TRADEL,(2YP)UC,UC,(2YP)UCLN,UCLN,(2YP)VOLIAB,VOLIAB,FAIL?
65039.0,105044.0,59398.5,98523.5,51612.6,84020.25,6744.0,21597.0,4.33593333333333,6.56525,57157.0,97228.0,481.0,1086.0,1351.0,1758.0,0.0,0.0,47956.0,68549.0,73.73,65.26,47956.0,68549.0,41762.0,62822.0,42.04,35.63,1922.0,2571.0,3250.0,2785.71,260.0,195.0,0.5,0.31,82.0,147.0,5931.0,8075.0,802.0,989.0,N/A,N/A,271.0,271.0,0.0,N/A,0.0,0.0,3329.0,3329.0,5931.0,8075.0,2331.0,4475.0,9.12,7.69,61302.0,99209.0,94.25,94.45,634.0,549.0,0.0,0.0,0.0,0.0,3150.0,3697.0,972.0,1411.0,N/A,N/A,0.0,0.0,N/A,N/A,1080.0,1294.0,4201.0,4994.0,8.68,8.38,168.0,154.0,212.0,76.0,59108.0,96969.0,65039.0,105044.0,651.0,839.0,1.12,0.88,610.0,899.0,120.25,138.1,57665.0,94669.0,88.66,90.12,N/A,563.09,0.0,0.0,0.0,149.0,0.0,0.16,N/A,N/A,N/A,N/A,972.0,1411.0,2279.0,2423.0,4.71,4.07,972.0,1411.0,1.88,2.24,295.0,246.0,0.57,0.39,1130.0,987.0,2.19,1.57,0.0,0.14,8.0,7.0,0.02,0.01,15.0,16.0,798.0,1627.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,8.47,7.06,9.42,7.98,4839.0,6867.0,651.0,839.0,1.88,2.24,2.29,2.36,20.71,27.47,3.62,8.22,58304.4,96537.2,3637.0,4540.0,0.0,0.0,0.0,0.0,0.0,0.0,12754.0,23708.0,12754.0,23708.0,13398.0,34091.0,Y
42081.0,31479.0,42388.0,33258.5,42388.0,37728.2,N/A,N/A,2.21478947368421,1.43086363636364,42050.0,31479.0,0.0,611.0,6118.0,3136.0,5263.0,2721.0,38776.0,32234.0,92.15,102.4,38776.0,32234.0,38776.0,32234.0,207.65,164.81,428.0,1556.0,96.15,115.01,175.0,1686.0,1.65,4.47,122.0,519.0,547.0,-1957.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,-1957.0,547.0,-1957.0,1.3,-6.22,37844.0,28731.0,89.93,91.27,243.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,-689.0,-3181.0,N/A,N/A,0.0,-30.0,0.0,0.0,23.0,0.0,780.0,3222.0,8.11,9.64,N/A,N/A,-65.0,-162.0,41534.0,33436.0,42081.0,31479.0,326.0,521.0,1.0,1.96,90.0,263.0,83.09,80.68,32218.0,26005.0,76.56,82.61,14.51,42.02,N/A,N/A,2247.0,1240.0,6.9,4.67,N/A,N/A,N/A,N/A,-689.0,-3181.0,352.0,1666.0,3.66,4.98,-689.0,-3152.5,-6.5,-8.36,184.0,812.0,1.74,2.15,1115.0,4105.0,10.52,10.88,5.59,4.55,182.0,1466.0,2.21,4.85,19.0,22.0,223.0,207.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104.0,192.0,3.01,0.93,5.0,2.44,1266.0,293.0,326.0,293.0,-6.5,-8.43,-7.12,-8.86,-309.14,N/A,-309.14,4985.89,31812.0,24059.0,363.0,5.0,0.0,0.0,0.0,0.0,N/A,N/A,2976.0,80.0,2976.0,80.0,12744.0,9031.0,Y
9699.0,7923.0,10021.5,8196.0,10706.0,8196.0,351.0,323.0,0.6466,0.609461538461539,10985.0,8489.0,899.0,855.0,1297.0,1522.0,100.0,0.0,9190.0,7680.0,94.75,96.93,9190.0,7680.0,3803.0,3679.0,148.76,178.0,52.0,26.0,39.53,N/A,34.0,0.0,0.64,0.0,121.0,65.0,416.0,179.0,0.0,0.0,N/A,N/A,312.0,468.0,N/A,N/A,0.0,0.0,3108.0,3282.0,416.0,179.0,-3004.0,-3571.0,4.29,2.26,7053.0,4998.0,72.72,63.08,318.0,182.0,0.0,0.0,300.0,0.0,0.0,0.0,-270.0,-156.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,391.0,181.0,9.97,12.92,104.0,42.0,1.0,0.0,9283.0,7744.0,9699.0,7923.0,266.0,241.0,4.07,4.96,0.0,0.0,68.18,60.14,6266.0,4619.0,64.6,58.3,30.61,110.05,0.0,0.0,869.0,219.0,13.3,4.51,N/A,N/A,N/A,N/A,-270.0,-156.0,339.0,155.0,8.64,11.07,-270.0,-156.0,-5.04,-7.61,143.0,45.0,2.67,2.2,717.0,356.0,13.39,17.37,13.02,6.93,86.0,0.0,2.53,0.0,15.0,13.0,58.0,32.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,394.0,330.0,3.79,2.11,6.51,4.17,416.0,179.0,101.0,79.0,-5.04,-7.61,-5.03,-7.61,-268.66,-345.71,-268.66,-345.71,7945.0,6187.1,387.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,689.0,517.0,689.0,0.0,201.0,Y
30958.0,25942.0,30322.0,28110.5,29703.0,29424.6666666667,1958.0,1891.0,2.06386666666667,1.526,30367.0,29261.0,643.0,659.0,1280.0,1368.0,50.0,50.0,28601.0,26667.0,92.39,102.79,28601.0,26667.0,23650.0,21585.0,76.43,93.23,690.0,487.0,132.63,88.86,443.0,3112.0,1.99,21.15,124.0,87.0,2171.0,-931.0,0.0,0.0,N/A,N/A,112.0,112.0,N/A,N/A,0.0,0.0,1988.0,1988.0,2171.0,-931.0,71.0,-3031.0,7.01,-3.59,27658.0,22469.0,89.34,86.61,568.0,348.0,0.0,0.0,1040.0,30.0,0.0,0.0,-71.0,-2880.0,N/A,N/A,33.0,1.0,N/A,N/A,0.0,0.0,1683.0,1129.0,8.47,8.68,196.0,146.0,-38.0,-174.0,28787.0,26873.0,30958.0,25942.0,403.0,0.0,1.76,0.0,198.0,106.0,78.87,71.85,22557.0,19160.0,72.86,73.86,110.71,0.0,0.0,0.0,364.0,473.0,1.59,2.47,N/A,N/A,N/A,N/A,-71.0,-2880.0,993.0,642.0,5.0,4.94,-92.45,-2880.94,-0.41,-19.58,284.0,200.0,1.27,1.36,976.0,785.0,4.38,5.34,2.16,2.64,334.0,3502.0,2.0,32.2,15.0,17.0,313.0,289.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,306.0,213.0,7.28,-3.0,10.21,-4.26,2211.0,-877.0,310.0,0.0,-0.32,-19.58,-0.49,-20.76,-4.12,-542.03,-4.12,-542.03,24684.0,20597.6,4011.0,3229.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,1159.0,472.0,1159.0,2984.0,2125.0,Y
82520.0,85485.0,82334.5,86132.0,80360.25,85270.3333333333,11304.0,10421.0,2.94714285714286,3.28788461538462,82453.0,86804.0,556.0,502.0,3237.0,3034.0,0.0,0.0,74007.0,77140.0,89.68,90.24,74007.0,77140.0,69217.0,71858.0,37.89,40.61,2567.0,1957.0,107.9,-2745.21,1052.0,2004.0,1.75,4.7,206.0,118.0,7854.0,7370.0,150.0,250.0,N/A,N/A,250.0,250.0,N/A,N/A,0.0,0.0,5823.0,6123.0,7854.0,7370.0,1781.0,997.0,9.52,8.62,75849.0,75883.0,91.92,88.77,682.0,460.0,0.0,0.0,200.0,0.0,0.0,500.0,770.0,-342.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,5577.0,3958.0,9.95,10.19,305.0,153.0,268.0,-324.0,74666.0,78115.0,82520.0,85485.0,1344.0,3392.0,2.37,5.59,479.0,480.0,74.9,74.23,55433.0,57260.0,67.18,66.98,257.97,58.62,0.0,0.0,521.0,5786.0,0.92,9.54,N/A,N/A,N/A,N/A,770.0,-342.0,3010.0,2001.0,5.37,5.15,770.0,-342.0,1.28,-0.8,355.0,252.0,0.59,0.59,1275.0,915.0,2.12,2.15,0.66,6.79,975.0,-73.0,2.39,-0.24,28.0,26.0,1124.0,1164.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,23.0,19.0,9.76,8.82,15.07,13.21,8050.0,7659.0,736.0,835.0,1.28,-0.8,1.72,-1.56,13.39,-8.81,10.79,-15.24,58294.6,64276.1,20216.0,18623.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,298.0,174.0,298.0,16102.0,17253.0,Y
71106.0,63890.0,73797.5,65836.5,76510.0,67319.3333333333,12560.0,11528.0,1.06128358208955,1.18314814814815,72148.0,64580.0,834.0,615.0,2516.0,3232.0,0.0,0.0,64782.0,59037.0,91.11,92.4,64782.0,59037.0,56710.0,50738.0,110.99,153.91,1851.0,1170.0,66.64,-3000.0,937.0,90.0,1.63,0.27,994.0,677.0,5804.0,4029.0,0.0,0.0,N/A,N/A,3762.0,3759.0,0.0,-2.0,0.0,0.0,6869.0,6869.0,5804.0,4029.0,-4827.0,-6599.0,8.16,6.31,65759.0,58690.0,92.48,91.86,1776.0,1092.0,0.0,0.0,9200.0,3300.0,0.0,0.0,-1561.0,-1061.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,20.0,4515.0,2574.0,8.64,8.45,309.0,203.0,180.0,0.0,65302.0,59861.0,71106.0,63890.0,2411.0,2402.0,5.77,5.87,256.0,51.0,60.76,65.21,39360.0,38498.0,55.35,60.26,98.89,57.8,0.0,0.0,2438.0,4156.0,5.84,10.16,N/A,N/A,N/A,N/A,-1561.0,-1061.0,2664.0,1404.0,5.1,4.61,-1561.0,-1061.0,-2.72,-3.15,467.0,273.0,0.81,0.81,3575.0,2648.0,6.23,7.87,4.57,7.2,1406.0,-3.0,3.86,-0.01,67.0,54.0,252.0,263.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,810.0,444.0,7.87,6.21,14.64,11.45,5679.0,4009.0,552.0,518.0,-2.72,-3.15,-2.41,-3.15,-30.82,-46.55,-30.82,-46.55,42307.4,39545.1,17199.0,16892.0,0.0,0.0,0.0,0.0,0.0,0.0,5216.0,4244.0,5216.0,4244.0,24354.0,21846.0,Y
89802.0,90397.0,89350.0,89785.5,87686.2,89628.5,14286.0,13996.0,2.56577142857143,2.65873529411765,91263.0,89092.0,2750.0,2651.0,4824.0,2745.0,810.0,95.0,68582.0,71277.0,76.37,78.85,68582.0,71277.0,61655.0,56605.0,66.24,48.71,3071.0,2340.0,120.16,304.88,769.0,625.0,0.88,0.93,305.0,227.0,9491.0,9961.0,391.0,446.0,N/A,N/A,460.0,460.0,0.0,N/A,0.0,0.0,460.0,460.0,9491.0,9961.0,8571.0,9041.0,10.57,11.02,81241.0,83350.0,90.47,92.2,1206.0,979.0,0.0,0.0,0.0,0.0,4475.0,4800.0,507.0,826.0,N/A,N/A,8.0,0.0,N/A,N/A,0.0,0.0,6410.0,5041.0,8.01,8.28,358.0,283.0,92.0,404.0,80311.0,80436.0,89802.0,90397.0,828.0,1248.0,1.39,1.96,1964.0,1688.0,85.76,87.44,58815.0,62323.0,65.49,68.94,115.97,569.86,0.0,0.0,714.0,219.0,1.2,0.34,N/A,N/A,N/A,N/A,507.0,826.0,3339.0,2701.0,4.17,4.44,500.2,826.0,0.57,1.23,690.0,916.0,0.79,1.36,2669.0,1762.0,3.04,2.62,0.85,0.24,640.0,205.0,1.13,0.45,35.0,34.0,478.0,527.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,51.0,0.0,10.94,11.64,17.78,17.94,9985.0,10366.0,756.0,782.0,0.58,1.23,0.68,1.83,5.14,11.51,1.18,5.29,60415.5,62133.7,21616.0,20932.0,0.0,0.0,0.0,0.0,0.0,0.0,4933.0,3500.0,4933.0,3500.0,20588.0,18253.0,Y
25284.0,17438.0,26003.0,17965.0,26003.0,22061.4,2755.0,2957.0,1.48729411764706,2.17975,25842.0,18032.0,1168.0,1080.0,789.0,788.0,0.0,0.0,24088.0,16931.0,95.27,97.09,24088.0,16931.0,22640.0,15460.0,277.39,249.73,277.0,998.0,0.0,N/A,0.0,0.0,0.0,0.0,82.0,286.0,1021.0,335.0,0.0,0.0,N/A,N/A,781.0,781.0,N/A,0.0,0.0,0.0,4767.0,4767.0,1021.0,335.0,-4527.0,-5213.0,4.04,1.92,23044.0,15440.0,91.14,88.54,272.0,776.0,0.0,0.0,5366.0,2232.0,0.0,0.0,-408.0,-1123.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,490.0,1690.0,8.32,8.52,8.0,29.0,0.0,0.0,24263.0,17103.0,25284.0,17438.0,229.0,227.0,1.47,1.89,459.0,269.0,63.6,69.61,15320.0,11786.0,60.59,67.59,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,-408.0,-1123.0,213.0,692.0,3.62,3.49,-408.0,-1123.0,-6.28,-5.09,17.0,58.0,0.26,0.26,638.0,1873.0,9.81,8.49,0.48,0.0,-2.0,0.0,-0.05,0.0,17.0,8.0,90.0,72.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,121.0,0.0,4.09,1.9,7.66,4.32,1057.0,342.0,206.0,141.0,-6.28,-5.09,-6.28,-5.09,-132.15,-138.64,-132.15,-138.64,16493.4,11177.8,2358.0,1422.0,0.0,0.0,0.0,0.0,0.0,0.0,3716.0,1110.0,3716.0,1110.0,3003.0,1993.0,Y
8046.0,9075.0,8362.5,8452.0,8617.66666666667,8452.0,1035.0,3531.0,1.00575,1.134375,8586.0,8452.0,160.0,216.0,2076.0,1102.0,1620.0,590.0,7407.0,8728.0,92.06,96.18,7407.0,8728.0,6702.0,8143.0,225.16,62.66,194.0,102.0,41.58,112.09,42.0,102.0,0.97,4.83,23.0,7.0,609.0,307.0,0.0,0.0,N/A,N/A,433.0,433.0,N/A,0.0,0.0,0.0,779.0,779.0,609.0,307.0,-603.0,-905.0,7.57,3.38,7354.0,8231.0,91.4,90.7,139.0,88.0,0.0,0.0,600.0,610.0,0.0,0.0,-236.0,23.0,N/A,0.0,0.0,10.0,N/A,0.0,0.0,0.0,323.0,183.0,8.23,9.56,20.0,9.0,0.0,0.0,7437.0,8768.0,8046.0,9075.0,210.0,210.0,4.05,4.09,0.0,24.0,67.17,56.4,4975.0,4923.0,61.83,54.25,25.74,61.4,0.0,0.0,816.0,342.0,15.74,6.66,N/A,N/A,N/A,N/A,-236.0,23.0,129.0,81.0,3.29,4.23,-236.0,13.0,-5.48,0.62,26.0,227.0,0.6,10.74,349.0,193.0,8.1,9.13,10.14,3.77,101.0,91.0,3.85,7.48,8.0,8.0,55.0,58.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,7.09,3.57,16.82,7.47,609.0,302.0,51.0,63.0,-5.48,1.09,-5.48,1.09,-65.31,30.98,-65.31,30.98,3923.8,4887.0,159.0,2108.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,1302.0,1411.0,Y
2120025.0,1765455.0,2196031.0,1853447.0,2207184.25,1926266.66666667,N/A,N/A,1.10822007318348,1.39451421800948,2111005.0,1948805.0,76084.0,73902.0,75880.0,105032.0,59370.0,85066.0,1588692.0,1609501.0,74.94,91.17,1588692.0,1609501.0,1527820.0,1532046.0,72.76,389.33,83525.0,58385.0,132.39,67.7,79996.0,24989.0,4.83,2.59,14709.0,20335.0,280828.0,-197067.0,0.0,0.0,N/A,N/A,44500.0,44500.0,0.0,0.0,0.0,0.0,0.0,85077.0,280828.0,-197067.0,236328.0,-326644.0,13.25,-11.16,1194664.0,775346.0,56.35,43.92,36475.0,46284.0,0.0,0.0,0.0,0.0,190978.0,238527.0,-7230.0,-100811.0,N/A,N/A,33223.0,473.0,0.0,-18754.0,41804.0,33308.0,96878.0,42233.0,8.94,10.55,N/A,N/A,-6505.0,-4027.0,1839197.0,1962522.0,2120025.0,1765455.0,7051.0,4399.0,1.53,1.09,0.0,0.0,28.56,24.79,453779.0,399071.0,21.4,22.6,23.59,41.91,N/A,N/A,29886.0,10496.0,6.49,2.6,N/A,N/A,N/A,N/A,-7230.0,-100811.0,13353.0,-16152.0,1.23,-4.03,-28492.72,-101265.08,-1.72,-10.51,108443.0,43913.0,6.55,4.56,88758.0,108083.0,5.36,11.22,1.51,0.67,60425.0,36912.0,11.45,17.31,1913.0,1266.0,6928.0,14905.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2149.0,1331.0,12.88,-0.7,8.83,-0.51,271808.0,-13717.0,7213.0,0.0,-0.44,-10.47,-0.83,-10.89,-3.31,N/A,-3.31,617.2,3158187.0,2697904.0,681515.0,291209.0,0.0,0.0,0.0,0.0,N/A,N/A,1989550.0,773182.0,1989550.0,773182.0,684766.0,584540.0,Y
