(3YP)ASSET,(1YP)ASSET,(3YP)ASSET2,(1YP)ASSET2,(3YP)ASSET5,(1YP)ASSET5,(3YP)ASSTLT,(1YP)ASSTLT,(3YP)ASTEMPM,(1YP)ASTEMPM,(3YP)AVASSETJ,(1YP)AVASSETJ,(3YP)BKPREM,(1YP)BKPREM,(3YP)CHBAL,(1YP)CHBAL,(3YP)CHBALI,(1YP)CHBALI,(3YP)DEP,(1YP)DEP,(3YP)DEPDASTR,(1YP)DEPDASTR,(3YP)DEPDOM,(1YP)DEPDOM,(3YP)DEPI,(1YP)DEPI,(3YP)EEFFR,(1YP)EEFFR,(3YP)EINTEXP,(1YP)EINTEXP,(3YP)ELNANTR,(1YP)ELNANTR,(3YP)ELNATR,(1YP)ELNATR,(3YP)ELNATRY,(1YP)ELNATRY,(3YP)EPREMAGG,(1YP)EPREMAGG,(3YP)EQ,(1YP)EQ,(3YP)EQCDIV,(1YP)EQCDIV,(3YP)EQCONSUB,(1YP)EQCONSUB,(3YP)EQCS,(1YP)EQCS,(3YP)EQCSTKRX,(1YP)EQCSTKRX,(3YP)EQPP,(1YP)EQPP,(3YP)EQSUR,(1YP)EQSUR,(3YP)EQTOT,(1YP)EQTOT,(3YP)EQUPTOT,(1YP)EQUPTOT,(3YP)EQV,(1YP)EQV,(3YP)ERNAST,(1YP)ERNAST,(3YP)ERNASTR,(1YP)ERNASTR,(3YP)ESAL,(1YP)ESAL,(3YP)EXTRA,(1YP)EXTRA,(3YP)FREPO,(1YP)FREPO,(3YP)FREPP,(1YP)FREPP,(3YP)IBEFXTR,(1YP)IBEFXTR,(3YP)IFIDUC,(1YP)IFIDUC,(3YP)IGLSEC,(1YP)IGLSEC,(3YP)IGLTRAD,(1YP)IGLTRAD,(3YP)INTAN,(1YP)INTAN,(3YP)INTINC,(1YP)INTINC,(3YP)INTINCY,(1YP)INTINCY,(3YP)ISERCHG,(1YP)ISERCHG,(3YP)ITAX,(1YP)ITAX,(3YP)LIAB,(1YP)LIAB,(3YP)LIABEQ,(1YP)LIABEQ,(3YP)LNATRES,(1YP)LNATRES,(3YP)LNATRESR,(1YP)LNATRESR,(3YP)LNEXAMT,(1YP)LNEXAMT,(3YP)LNLSDEPR,(1YP)LNLSDEPR,(3YP)LNLSNET,(1YP)LNLSNET,(3YP)LNLSNTV,(1YP)LNLSNTV,(3YP)LNRESNCR,(1YP)LNRESNCR,(3YP)NCGTYPAR,(1YP)NCGTYPAR,(3YP)NCLNLS,(1YP)NCLNLS,(3YP)NCLNLSR,(1YP)NCLNLSR,(3YP)NETIMIN,(1YP)NETIMIN,(3YP)NETINBM,(1YP)NETINBM,(3YP)NETINC,(1YP)NETINC,(3YP)NIM,(1YP)NIM,(3YP)NIMY,(1YP)NIMY,(3YP)NOIJ,(1YP)NOIJ,(3YP)NOIJY,(1YP)NOIJY,(3YP)NONII,(1YP)NONII,(3YP)NONIIAY,(1YP)NONIIAY,(3YP)NONIX,(1YP)NONIX,(3YP)NONIXAY,(1YP)NONIXAY,(3YP)NPERFV,(1YP)NPERFV,(3YP)NTLNLS,(1YP)NTLNLS,(3YP)NTLNLSR,(1YP)NTLNLSR,(3YP)NUMEMP,(1YP)NUMEMP,(3YP)OAIENC,(1YP)OAIENC,(3YP)OALIFGEN,(1YP)OALIFGEN,(3YP)OALIFHYB,(1YP)OALIFHYB,(3YP)OALIFINS,(1YP)OALIFINS,(3YP)OALIFSEP,(1YP)OALIFSEP,(3YP)OBSDIR,(1YP)OBSDIR,(3YP)ORE,(1YP)ORE,(3YP)RBC1AAJ,(1YP)RBC1AAJ,(3YP)RBCRWAJ,(1YP)RBCRWAJ,(3YP)RBCT1J,(1YP)RBCT1J,(3YP)RBCT2,(1YP)RBCT2,(3YP)ROA,(1YP)ROA,(3YP)ROAPTX,(1YP)ROAPTX,(3YP)ROE,(1YP)ROE,(3YP)ROEINJR,(1YP)ROEINJR,(3YP)RWAJT,(1YP)RWAJT,(3YP)SC,(1YP)SC,(3YP)SUBND,(1YP)SUBND,(3YP)TRADE,(1YP)TRADE,(3YP)TRADEL,(1YP)TRADEL,(3YP)UC,(1YP)UC,(3YP)UCLN,(1YP)UCLN,(3YP)VOLIAB,(1YP)VOLIAB,FAIL?
53758.0,65039.0,52525.0,59398.5,48256.0,51612.6,3861.0,6744.0,3.83985714285714,4.33593333333333,51351.0,57157.0,465.0,481.0,1134.0,1351.0,0.0,0.0,43721.0,47956.0,81.33,73.73,43721.0,47956.0,38887.0,41762.0,42.16,42.04,1348.0,1922.0,N/A,3250.0,145.0,260.0,0.4,0.5,15.0,82.0,4585.0,5931.0,556.0,802.0,N/A,N/A,271.0,271.0,N/A,0.0,0.0,0.0,3329.0,3329.0,4585.0,5931.0,985.0,2331.0,8.53,9.12,50364.0,61302.0,93.69,94.25,467.0,634.0,0.0,0.0,0.0,0.0,1050.0,3150.0,674.0,972.0,N/A,N/A,0.0,0.0,N/A,N/A,1092.0,1080.0,2985.0,4201.0,8.81,8.68,117.0,168.0,211.0,212.0,49173.0,59108.0,53758.0,65039.0,544.0,651.0,1.16,1.12,610.0,610.0,105.97,120.25,46333.0,57665.0,86.19,88.66,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,674.0,972.0,1637.0,2279.0,4.83,4.71,674.0,972.0,1.86,1.88,206.0,295.0,0.57,0.57,813.0,1130.0,2.25,2.19,0.0,0.0,0.0,8.0,0.0,0.02,14.0,15.0,646.0,798.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,6.77,8.47,8.44,9.42,3476.0,4839.0,544.0,651.0,1.86,1.88,2.45,2.29,20.5,20.71,3.59,3.62,47607.9,58304.4,4031.0,3637.0,0.0,0.0,0.0,0.0,0.0,0.0,9986.0,12754.0,9986.0,12754.0,8493.0,13398.0,Y
42695.0,42081.0,42643.5,42388.0,42351.8,42388.0,N/A,N/A,1.85630434782609,2.21478947368421,42661.0,42050.0,1058.0,0.0,3847.0,6118.0,3335.0,5263.0,38455.0,38776.0,90.07,92.15,38455.0,38776.0,38455.0,38776.0,101.61,207.65,1672.0,428.0,146.56,96.15,469.0,175.0,1.11,1.65,454.0,122.0,1236.0,547.0,0.0,0.0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,547.0,1236.0,547.0,2.89,1.3,39106.0,37844.0,91.59,89.93,903.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,-430.0,-689.0,N/A,N/A,87.0,0.0,0.0,0.0,26.0,23.0,3596.0,780.0,9.16,8.11,N/A,N/A,3.0,-65.0,41458.0,41534.0,42694.0,42081.0,333.0,326.0,1.0,1.0,0.0,90.0,85.88,83.09,33025.0,32218.0,77.35,76.56,16.48,14.51,N/A,N/A,2021.0,2247.0,6.06,6.9,N/A,N/A,N/A,N/A,-430.0,-689.0,1924.0,352.0,4.9,3.66,-517.0,-689.0,-1.22,-6.5,373.0,184.0,0.88,1.74,2342.0,1115.0,5.53,10.52,5.05,5.59,320.0,182.0,1.01,2.21,23.0,19.0,330.0,223.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134.0,104.0,4.58,3.01,7.1,5.0,1952.0,1266.0,333.0,326.0,-1.02,-6.5,-1.01,-7.12,-30.31,-309.14,-30.31,-309.14,32165.0,31812.0,2746.0,363.0,0.0,0.0,0.0,0.0,N/A,N/A,3749.0,2976.0,3749.0,2976.0,13385.0,12744.0,Y
10344.0,9699.0,11209.5,10021.5,11209.5,10706.0,355.0,351.0,0.544421052631579,0.6466,10822.0,10985.0,787.0,899.0,1492.0,1297.0,0.0,100.0,9753.0,9190.0,94.29,94.75,9753.0,9190.0,4463.0,3803.0,126.58,148.76,28.0,52.0,N/A,39.53,0.0,34.0,0.0,0.64,41.0,121.0,491.0,416.0,0.0,0.0,N/A,N/A,250.0,312.0,N/A,N/A,0.0,0.0,3040.0,3108.0,491.0,416.0,-2799.0,-3004.0,4.75,4.29,7390.0,7053.0,71.44,72.72,147.0,318.0,0.0,0.0,600.0,300.0,0.0,0.0,-63.0,-270.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,187.0,391.0,9.08,9.97,55.0,104.0,0.0,1.0,9853.0,9283.0,10344.0,9699.0,318.0,266.0,4.73,4.07,0.0,0.0,65.65,68.18,6403.0,6266.0,61.9,64.6,29.01,30.61,0.0,0.0,1096.0,869.0,16.31,13.3,N/A,N/A,N/A,N/A,-63.0,-270.0,159.0,339.0,7.72,8.64,-63.0,-270.0,-2.25,-5.04,78.0,143.0,2.78,2.67,300.0,717.0,10.71,13.39,15.27,13.02,0.0,86.0,0.0,2.53,19.0,15.0,66.0,58.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,484.0,394.0,4.54,3.79,7.31,6.51,491.0,416.0,104.0,101.0,-2.25,-5.04,-2.25,-5.03,-269.52,-268.66,-269.52,-268.66,8140.9,7945.0,387.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,517.0,1107.0,517.0,0.0,0.0,Y
29686.0,30958.0,29141.0,30322.0,29284.6666666667,29703.0,1981.0,1958.0,2.12042857142857,2.06386666666667,28856.0,30367.0,628.0,643.0,1442.0,1280.0,50.0,50.0,27117.0,28601.0,91.35,92.39,27117.0,28601.0,21704.0,23650.0,74.85,76.43,449.0,690.0,73.13,132.63,49.0,443.0,0.33,1.99,82.0,124.0,2394.0,2171.0,0.0,0.0,N/A,N/A,112.0,112.0,N/A,N/A,0.0,0.0,1988.0,1988.0,2394.0,2171.0,294.0,71.0,8.06,7.01,26589.0,27658.0,89.57,89.34,375.0,568.0,0.0,0.0,1010.0,1040.0,0.0,0.0,142.0,-71.0,N/A,N/A,36.0,33.0,N/A,N/A,0.0,0.0,1119.0,1683.0,8.58,8.47,129.0,196.0,61.0,-38.0,27292.0,28787.0,29686.0,30958.0,277.0,403.0,1.24,1.76,185.0,198.0,81.14,78.87,22004.0,22557.0,74.12,72.86,87.38,110.71,0.0,0.0,317.0,364.0,1.42,1.59,N/A,N/A,N/A,N/A,142.0,-71.0,670.0,993.0,5.14,5.0,116.8,-92.45,0.8,-0.41,189.0,284.0,1.29,1.27,643.0,976.0,4.39,4.38,1.07,2.16,67.0,334.0,0.61,2.0,14.0,15.0,375.0,313.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,306.0,8.4,7.28,11.33,10.21,2424.0,2211.0,277.0,310.0,0.97,-0.32,1.39,-0.49,12.13,-4.12,12.13,-4.12,23832.0,24684.0,3525.0,4011.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,472.0,489.0,472.0,2398.0,2984.0,Y
82149.0,82520.0,81204.5,82334.5,79640.3333333333,80360.25,11132.0,11304.0,2.93389285714286,2.94714285714286,81223.0,82453.0,551.0,556.0,2572.0,3237.0,0.0,0.0,73801.0,74007.0,89.84,89.68,73801.0,74007.0,68632.0,69217.0,38.55,37.89,1689.0,2567.0,150.35,107.9,651.0,1052.0,1.63,1.75,135.0,206.0,7655.0,7854.0,150.0,150.0,N/A,N/A,250.0,250.0,N/A,N/A,0.0,0.0,5823.0,5823.0,7655.0,7854.0,1582.0,1781.0,9.32,9.52,76435.0,75849.0,93.04,91.92,473.0,682.0,0.0,0.0,1900.0,200.0,0.0,0.0,535.0,770.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,3685.0,5577.0,9.92,9.95,197.0,305.0,193.0,268.0,74494.0,74666.0,82149.0,82520.0,1472.0,1344.0,2.62,2.37,505.0,479.0,74.14,74.9,54718.0,55433.0,66.61,67.18,275.14,257.97,46.0,0.0,535.0,521.0,0.95,0.92,N/A,N/A,N/A,N/A,535.0,770.0,1996.0,3010.0,5.37,5.37,535.0,770.0,1.34,1.28,248.0,355.0,0.62,0.59,865.0,1275.0,2.17,2.12,0.66,0.66,433.0,975.0,1.62,2.39,28.0,28.0,997.0,1124.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,4.0,23.0,9.62,9.76,14.87,15.07,7815.0,8050.0,727.0,736.0,1.34,1.28,1.83,1.72,14.08,13.39,10.13,10.79,57450.8,58294.6,19817.0,20216.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0,174.0,1079.0,174.0,16843.0,16102.0,Y
76489.0,71106.0,76171.5,73797.5,78311.3333333333,76510.0,15759.0,12560.0,1.0927,1.06128358208955,77170.0,72148.0,877.0,834.0,3420.0,2516.0,0.0,0.0,69279.0,64782.0,90.57,91.11,69279.0,64782.0,60135.0,56710.0,112.0,110.99,1257.0,1851.0,563.91,66.64,750.0,937.0,1.92,1.63,676.0,994.0,6580.0,5804.0,0.0,0.0,N/A,N/A,3762.0,3762.0,0.0,0.0,0.0,0.0,6869.0,6869.0,6580.0,5804.0,-4051.0,-4827.0,8.6,8.16,69261.0,65759.0,90.55,92.48,1190.0,1776.0,0.0,0.0,8200.0,9200.0,0.0,0.0,-785.0,-1561.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,125.0,3007.0,4515.0,8.47,8.64,212.0,309.0,-278.0,180.0,69909.0,65302.0,76489.0,71106.0,3497.0,2411.0,7.39,5.77,256.0,256.0,63.28,60.76,43838.0,39360.0,57.31,55.35,82.63,98.89,0.0,0.0,4232.0,2438.0,8.94,5.84,N/A,N/A,N/A,N/A,-785.0,-1561.0,1750.0,2664.0,4.93,5.1,-785.0,-1561.0,-2.0,-2.72,300.0,467.0,0.77,0.81,2363.0,3575.0,6.03,6.23,7.16,4.57,133.0,1406.0,0.52,3.86,70.0,67.0,297.0,252.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,1244.0,810.0,7.8,7.87,14.23,14.64,6023.0,5679.0,616.0,552.0,-2.0,-2.72,-2.71,-2.41,-22.21,-30.82,-22.21,-30.82,46368.3,42307.4,17223.0,17199.0,0.0,0.0,0.0,0.0,0.0,0.0,5354.0,5216.0,5354.0,5216.0,24612.0,24354.0,Y
88898.0,89802.0,88286.5,89350.0,87157.25,87686.2,15042.0,14286.0,2.69387878787879,2.56577142857143,87641.0,91263.0,2723.0,2750.0,4753.0,4824.0,223.0,810.0,68085.0,68582.0,76.59,76.37,68085.0,68582.0,61452.0,61655.0,67.42,66.24,2293.0,3071.0,96.92,120.16,220.0,769.0,0.34,0.88,228.0,305.0,9994.0,9491.0,104.0,391.0,N/A,N/A,460.0,460.0,N/A,0.0,0.0,0.0,460.0,460.0,9994.0,9491.0,9074.0,8571.0,11.24,10.57,79919.0,81241.0,89.9,90.47,894.0,1206.0,0.0,0.0,925.0,0.0,0.0,4475.0,540.0,507.0,N/A,N/A,0.0,8.0,N/A,N/A,0.0,0.0,4761.0,6410.0,7.96,8.01,265.0,358.0,201.0,92.0,78904.0,80311.0,88898.0,89802.0,693.0,828.0,1.21,1.39,1783.0,1964.0,83.29,85.76,56705.0,58815.0,63.79,65.49,220.0,115.97,0.0,0.0,315.0,714.0,0.55,1.2,N/A,N/A,N/A,N/A,540.0,507.0,2468.0,3339.0,4.13,4.17,540.0,500.2,0.83,0.57,482.0,690.0,0.74,0.79,1989.0,2669.0,3.04,3.04,0.41,0.85,227.0,640.0,0.54,1.13,33.0,35.0,453.0,478.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,52.0,51.0,11.76,10.94,18.69,17.78,10305.0,9985.0,693.0,756.0,0.83,0.58,1.13,0.68,7.23,5.14,5.84,1.18,58843.3,60415.5,22066.0,21616.0,0.0,0.0,0.0,0.0,0.0,0.0,7021.0,4933.0,7021.0,4933.0,12982.0,20588.0,Y
26722.0,25284.0,27329.0,26003.0,29911.2,26003.0,2416.0,2755.0,1.3361,1.48729411764706,27648.0,25842.0,1200.0,1168.0,928.0,789.0,0.0,0.0,25114.0,24088.0,93.98,95.27,25114.0,24088.0,23401.0,22640.0,165.58,277.39,1241.0,277.0,9.72,0.0,14.0,0.0,0.05,0.0,716.0,82.0,1449.0,1021.0,0.0,0.0,N/A,N/A,781.0,781.0,720.0,N/A,0.0,0.0,4767.0,4767.0,1449.0,1021.0,-4099.0,-4527.0,5.42,4.04,24085.0,23044.0,90.13,91.14,967.0,272.0,0.0,0.0,4747.0,5366.0,0.0,0.0,-1007.0,-408.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,2364.0,490.0,8.72,8.32,26.0,8.0,10.0,0.0,25273.0,24263.0,26722.0,25284.0,227.0,229.0,1.35,1.47,476.0,459.0,65.9,63.6,16550.0,15320.0,61.93,60.59,3783.33,N/A,0.0,0.0,6.0,0.0,0.04,0.0,N/A,N/A,N/A,N/A,-1007.0,-408.0,1123.0,213.0,4.14,3.62,-1007.0,-408.0,-3.37,-6.28,376.0,17.0,1.26,0.26,2482.0,638.0,8.3,9.81,1.09,0.48,144.0,-2.0,0.72,-0.05,20.0,17.0,117.0,90.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,285.0,121.0,5.3,4.09,8.95,7.66,1465.0,1057.0,227.0,206.0,-3.37,-6.28,-3.33,-6.28,-51.18,-132.15,-51.18,-132.15,18905.9,16493.4,2788.0,2358.0,0.0,0.0,0.0,0.0,0.0,0.0,4003.0,3716.0,4003.0,3716.0,2879.0,3003.0,Y
8679.0,8046.0,8903.5,8362.5,8903.5,8617.66666666667,752.0,1035.0,1.084875,1.00575,8922.0,8586.0,164.0,160.0,2034.0,2076.0,1650.0,1620.0,7932.0,7407.0,91.39,92.06,7932.0,7407.0,7198.0,6702.0,214.81,225.16,100.0,194.0,44.19,41.58,38.0,42.0,1.71,0.97,15.0,23.0,714.0,609.0,0.0,0.0,N/A,N/A,433.0,433.0,N/A,N/A,0.0,0.0,779.0,779.0,714.0,609.0,-498.0,-603.0,8.23,7.57,8047.0,7354.0,92.72,91.4,66.0,139.0,0.0,0.0,1400.0,600.0,0.0,0.0,-131.0,-236.0,N/A,N/A,0.0,0.0,N/A,N/A,0.0,0.0,168.0,323.0,8.3,8.23,10.0,20.0,0.0,0.0,7965.0,7437.0,8679.0,8046.0,197.0,210.0,3.92,4.05,90.0,0.0,60.85,67.17,4827.0,4975.0,55.62,61.83,25.42,25.74,0.0,0.0,775.0,816.0,15.43,15.74,N/A,N/A,N/A,N/A,-131.0,-236.0,68.0,129.0,3.36,3.29,-131.0,-236.0,-5.89,-5.48,13.0,26.0,0.58,0.6,174.0,349.0,7.82,8.1,8.93,10.14,86.0,101.0,6.51,3.85,8.0,8.0,52.0,55.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,8.0,7.09,19.54,16.82,714.0,609.0,51.0,51.0,-5.89,-5.48,-5.89,-5.48,-67.22,-65.31,-67.22,-65.31,3915.3,3923.8,170.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,48.0,41.0,48.0,1776.0,1302.0,Y
2275232.0,2120025.0,2218337.5,2196031.0,2218337.5,2207184.25,N/A,N/A,1.17219577537352,1.10822007318348,2260889.0,2111005.0,57972.0,76084.0,68702.0,75880.0,46278.0,59370.0,1642553.0,1588692.0,72.19,74.94,1642553.0,1588692.0,1563111.0,1527820.0,39.89,72.76,24459.0,83525.0,186.57,132.39,51275.0,79996.0,9.25,4.83,4158.0,14709.0,288666.0,280828.0,0.0,0.0,N/A,N/A,44500.0,44500.0,0.0,0.0,0.0,0.0,0.0,0.0,288666.0,280828.0,244166.0,236328.0,12.69,13.25,1403029.0,1194664.0,61.67,56.35,8578.0,36475.0,0.0,0.0,0.0,0.0,179070.0,190978.0,-8934.0,-7230.0,N/A,N/A,10860.0,33223.0,0.0,0.0,36740.0,41804.0,30550.0,96878.0,7.51,8.94,N/A,N/A,-7191.0,-6505.0,1986566.0,1839197.0,2275232.0,2120025.0,11272.0,7051.0,1.07,1.53,0.0,0.0,63.3,28.56,1039736.0,453779.0,45.7,21.4,29.0,23.59,N/A,N/A,38870.0,29886.0,3.7,6.49,N/A,N/A,N/A,N/A,-8934.0,-7230.0,6091.0,13353.0,1.5,1.23,-15884.4,-28492.72,-2.86,-1.72,34409.0,108443.0,6.2,6.55,16210.0,88758.0,2.92,5.36,1.81,1.51,27483.0,60425.0,11.14,11.45,1941.0,1913.0,11186.0,6928.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2236.0,2149.0,12.13,12.88,9.11,8.83,271776.0,271808.0,16927.0,7213.0,-1.61,-0.44,-2.91,-0.83,-12.19,-3.31,-12.19,-3.31,3168100.0,3158187.0,317015.0,681515.0,0.0,0.0,0.0,0.0,N/A,N/A,1654373.0,1989550.0,1654373.0,1989550.0,896921.0,684766.0,Y
